id,Name,Ranking,Points,Short_code
85,Bolivia,85,1283.88,BOL
86,Zambia,86,1278.26,ZAM
87,Luxembourg,87,1277.94,LUX
88,China PR,88,1275.22,CHN
89,Syria,89,1266.52,SYR
90,Haiti,90,1262.5,HAI
91,Curaçao,91,1262.48,CUW
92,Uganda,92,1242.15,UGA
93,Palestine,93,1238.66,PLE
94,Angola,94,1235.76,ANG
95,Armenia,95,1229.18,ARM
96,Belarus,96,1226.54,BLR
97,Benin,97,1225.68,BEN
98,Trinidad and Tobago,98,1220.65,TRI
99,Tajikistan,99,1216.76,TJK
100,Kyrgyz Republic,100,1213.6,KGZ
101,Thailand,101,1208.93,THA
102,Kosovo,102,1205.85,KOS
103,Kazakhstan,103,1203.64,KAZ
104,Aotearoa New Zealand,104,1197.68,NZL
105,Mauritania,105,1195.5,MTN
106,Namibia,106,1192.13,NAM
107,Kenya,107,1191.24,KEN
108,Guatemala,108,1188.28,GUA
109,Madagascar,109,1185.86,MAD
110,Mozambique,110,1184.49,MOZ
111,Congo,111,1179.8,CGO
112,Azerbaijan,112,1177.83,AZE
113,Togo,113,1170.34,TOG
114,Libya,114,1166.71,LBY
115,Vietnam,115,1164.54,VIE
116,Guinea-Bissau,116,1163.44,GNB
117,Comoros,117,1163.02,COM
118,Korea DPR,118,1160.57,PRK
119,Tanzania,119,1159.81,TAN
120,Lebanon,120,1158.96,LBN
121,India,121,1145.94,IND
122,Zimbabwe,122,1143.66,ZIM
123,Estonia,123,1141.13,EST
124,Cyprus,124,1141.03,CYP
125,Malawi,125,1140.93,MWI
126,Sierra Leone,126,1137.36,SLE
127,Sudan,127,1129.32,SDN
128,Central African Republic,128,1128.17,CTA
129,Niger,129,1125.5,NIG
130,The Gambia,130,1114.8,GAM
131,Rwanda,131,1112.44,RWA
132,Solomon Islands,132,1111.02,SOL
133,Faroe Islands,133,1103.43,FRO
134,Indonesia,134,1102.7,IDN
135,Nicaragua,135,1102.54,NCA
136,Latvia,136,1095.91,LVA
137,Lithuania,137,1095.23,LTU
138,Malaysia,138,1094.54,MAS
139,Kuwait,139,1085.46,KUW
140,Burundi,140,1081.63,BDI
141,Philippines,141,1075.14,PHI
142,Antigua and Barbuda,142,1072.66,ATG
143,Turkmenistan,143,1072.52,TKM
144,Suriname,144,1071.85,SUR
145,Ethiopia,145,1068.48,ETH
146,Botswana,146,1065.07,BOT
147,St Kitts and Nevis,147,1056.61,SKN
148,Eswatini,148,1048.89,SWZ
149,Lesotho,149,1047.58,LES
150,Dominican Republic,150,1042.86,DOM
151,Afghanistan,151,1036.92,AFG
152,Liberia,152,1029.58,LBR
153,Moldova,153,1028.85,MDA
154,Guyana,154,1020.31,GUY
155,Singapore,155,1019.06,SGP
156,Yemen,156,1017.05,YEM
157,Hong Kong,157,1012.83,HKG
158,New Caledonia,158,1008.92,NCL
159,Chinese Taipei,159,1007.3,TPE
160,Puerto Rico,160,1006.35,PUR
161,Maldives,161,1003.48,MDV
162,Tahiti,162,999.48,TAH
163,Myanmar,163,999.46,MYA
164,Andorra,164,998.75,AND
165,St Lucia,165,988.67,LCA
166,Papua New Guinea,166,985.32,PNG
167,South Sudan,167,984.65,SSD
168,Fiji,168,983.81,FIJ
169,Cuba,169,980.65,CUB
170,Bermuda,170,974.3,BER
171,Malta,171,973.14,MLT
172,Vanuatu,172,972.14,VAN
173,St Vincent and the Grenadines,173,953.47,VIN
174,Grenada,174,950.99,GRN
175,Montserrat,175,946.08,MSR
176,Chad,176,945.92,CHA
177,Barbados,177,943.8,BRB
178,Nepal,178,937.84,NEP
179,Cambodia,179,925.4,CAM
180,Dominica,180,922.25,DMA
181,Samoa,181,920.54,SAM
182,Belize,182,919.52,BLZ
183,Mauritius,183,919.4,MRI
184,Bangladesh,184,905.3,BAN
185,Bhutan,185,904.1,BHU
186,Macau,186,896.62,MAC
187,Cook Islands,187,896.59,COK
188,São Tomé and Príncipe,188,893.58,STP
189,American Samoa,189,890.97,ASA
190,Laos,190,889.62,LAO
191,Mongolia,191,884.04,MNG
192,Djibouti,192,877.28,DJI
193,Aruba,193,875.82,ARU
194,Brunei Darussalam,194,872.65,BRU
195,Pakistan,195,849.94,PAK
196,Cayman Islands,196,847.81,CAY
197,Seychelles,197,845.53,SEY
198,Timor-Leste,198,843.4,TLS
199,Somalia,199,842.64,SOM
200,Bahamas,200,835.81,BAH
201,Tonga,201,833.12,TGA
202,Liechtenstein,202,832.75,LIE
203,Gibraltar,203,832.5,GIB
204,Sri Lanka,204,829.41,SRI
205,Guam,205,821.91,GUM
206,Turks and Caicos Islands,206,817.03,TCA
207,British Virgin Islands,207,813.31,VGB
208,US Virgin Islands,208,797.29,VIR
209,Anguilla,209,793.48,AIA
210,San Marino,210,742.05,SMR
